key,display_code,title,conflicts_found,resolution_applied,sources
IS 1079,IS 1079:2017,Hot Rolled Carbon Steel Sheet and Strip - Specification,"edition_year differs across sources: sp21=1994, sure=2017 | full text is from edition 1994 but latest known edition is 2017","kept edition_year=2017 as current; full_text is from 1994 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 1161,IS 1161:2014,Steel Tubes for Structural Purposes - Specification,"edition_year differs across sources: sp21=1998, sure=2014 | full text is from edition 1998 but latest known edition is 2014","kept edition_year=2014 as current; full_text is from 1998 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 1166,IS 1166:2020,"Condensed Milk, Partly Skimmed and Skimmed Condensed Milk - Specification","edition_year differs across sources: sure=1986, bis_ai_db=2020, bis_rules=2020",no automatic rule applied — manual review needed,sure | bis_ai_db | bis_ai_targets | bis_rules
IS 1239 (Part 2),IS 1239 (Part 2):2011,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Fittings","edition_year differs across sources: sure=1992, sih108=2011",no automatic rule applied — manual review needed,sure | sih108 | bis_ai_db
IS 1293,IS 1293:2019,Plugs and Socket-Outlets of Rated Voltage up to and including 250 Volts and Rated Current up to and including 16 Amperes,"edition_year differs across sources: sp21=1988, sure=2019 | full text is from edition 1988 but latest known edition is 2019","kept edition_year=2019 as current; full_text is from 1988 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 1363 (Part 1),IS 1363 (Part 1):2019,"Hexagon Head Bolts, Screws and Nuts of Product Grade C - Part 1: Hexagon Head Bolts","edition_year differs across sources: sp21=2002, sure=2019 | full text is from edition 2002 but latest known edition is 2019","kept edition_year=2019 as current; full_text is from 2002 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 1489 (Part 1),IS 1489 (Part 1):2015,Portland Pozzolana Cement — Fly Ash Based — Specification,"edition_year differs across sources: sp21=1991, sure=2015, sih108=2015, bis_ai_db=2015, normai=2015, bis_rules=2015 | full text is from edition 1991 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 1991 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | bis_ai_db | normai | bis_rules
IS 1489 (Part 2),IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,"edition_year differs across sources: sp21=1991, sure=2015, bis_ai_db=2015, bis_rules=2015 | full text is from edition 1991 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 1991 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db | bis_rules
IS 1786,IS 1786:2008,High Strength Deformed Steel Bars/Wires for Concrete Reinforcement,"edition_year differs across sources: sp21=1985, sure=2008, sih108=2008, bis_ai_db=2008, normai=2008, bis_rules=2008 | full text is from edition 1985 but latest known edition is 2008","kept edition_year=2008 as current; full_text is from 1985 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | sih108_demo | bis_ai_db | bis_ai_targets | normai | bis_rules
IS 2002,IS 2002:1979,Steel Plates For Pressure Vessels For Intermediate And High Temperature Service Including Boilers,titles share no words across sources - one source may have the wrong title for this code,no automatic rule applied — manual review needed,sp21 | bis_ai_db
IS 2062,IS 2062:2011,Hot Rolled Medium and High Tensile Structural Steel — Specification,"edition_year differs across sources: sp21=1999, sure=2011, sih108=2011, bis_ai_db=2011, normai=2011, bis_rules=2011 | full text is from edition 1999 but latest known edition is 2011","kept edition_year=2011 as current; full_text is from 1999 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | bis_ai_db | bis_ai_targets | normai | bis_rules
IS 2185 (Part 1),IS 2185 (Part 1):2005,Concrete Masonry Units — Hollow/Solid Concrete Blocks,"edition_year differs across sources: sp21=1979, bis_ai_db=2005, normai=2005, bis_rules=2005 | full text is from edition 1979 but latest known edition is 2005","kept edition_year=2005 as current; full_text is from 1979 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | bis_ai_db | normai | bis_rules
IS 2185 (Part 3),IS 2185 (Part 3):1984,Concrete Masonry Units - Autoclaved Cellular (Aerated) Concrete Blocks (AAC Blocks),mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sp21 | sure | bis_ai_db | bis_rules
IS 2692,IS 2692:2015,Ferrules For Water Services,"edition_year differs across sources: sp21=1989, bis_ai_db=2015 | full text is from edition 1989 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 1989 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | bis_ai_db
IS 2925,IS 2925:1984,Specification for Industrial Safety Helmets,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sih108 | bis_ai_db | bis_ai_targets | normai
IS 3589,IS 3589:2001,Steel Pipes for Water and Sewage (168.3 to 2540 mm Outside Diameter),mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sp21 | sure | sih108 | sih108_demo | bis_ai_db | normai
IS 3812 (Part 1),IS 3812 (Part 1):2013,Pulverized Fuel Ash — Specification (Concrete/Mortar use),mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,bis_ai_db | normai
IS 4923,IS 4923:2017,Hollow Steel Sections for Structural Use — Specification,"edition_year differs across sources: sp21=1997, sure=2017, normai=2017 | mandatory-certification evidence conflicts | full text is from edition 1997 but latest known edition is 2017","kept edition_year=2017 as current; full_text is from 1997 — flagged edition_mismatch, do not treat quoted clause numbers as current | certification status left as null/disputed — verify manually before demo",sp21 | sure | bis_ai_db | normai
IS 4984,IS 4984:2016,High Density Polyethylene (HDPE) Pipes for Water Supply - Specification,"edition_year differs across sources: sp21=1995, sure=2016, sih108=2016, bis_ai_db=2016, bis_rules=2016 | full text is from edition 1995 but latest known edition is 2016","kept edition_year=2016 as current; full_text is from 1995 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | bis_ai_db | bis_ai_targets | bis_rules
IS 4985,IS 4985:2021,Unplasticized PVC Pipes for Potable Water Supplies — Specification,"edition_year differs across sources: sp21=2000, sure=2021, sih108=2021, bis_ai_db=2021, normai=2000, bis_rules=2021 | full text is from edition 2000 but latest known edition is 2021","kept edition_year=2021 as current; full_text is from 2000 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | sih108 | bis_ai_db | normai | bis_rules
IS 5509,IS 5509:2021,Fire Retardant Plywood -specification,"edition_year differs across sources: sp21=2000, bis_ai_db=2021, bis_rules=2021 | full text is from edition 2000 but latest known edition is 2021","kept edition_year=2021 as current; full_text is from 2000 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | bis_ai_db | bis_rules
IS 8112,IS 8112:2013,"Ordinary Portland Cement, 43 Grade — Specification","edition_year differs across sources: sp21=1989, sure=2013, normai=2013 | full text is from edition 1989 but latest known edition is 2013","kept edition_year=2013 as current; full_text is from 1989 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | normai
IS 8130,IS 8130:2013,Conductors for Insulated Electric Cables and Flexible Cords,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sure | bis_ai_db | normai
IS 8828,IS 8828:1996,Electrical Accessories - Circuit-Breakers for Overcurrent Protection (MCB),status differs across sources,no automatic rule applied — manual review needed,sp21 | sure
IS 8887,IS 8887:2018,Bitumen Emulsion for Roads (Cationic Type) - Specification,"edition_year differs across sources: sp21=2004, sure=2018 | full text is from edition 2004 but latest known edition is 2018","kept edition_year=2018 as current; full_text is from 2004 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 9968 (Part 1),IS 9968 (Part 1):1988,Elastomer Insulated Cables - For Working Voltages up to and including 1100 V,"edition_year differs across sources: sp21=1998, sure=1988 | full text is from edition 1998 but latest known edition is 1988","kept edition_year=1988 as current; full_text is from 1998 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 10116,IS 10116:2015,Polyvinyl Chloride (PVC) Resins - Specification,titles share no words across sources - one source may have the wrong title for this code,no automatic rule applied — manual review needed,sure | bis_ai_db
IS 11652,IS 11652:2017,High Density Polyethylene (HDPE) Woven Sacks for Packing of 50 kg Cement,"edition_year differs across sources: sure=2000, bis_ai_db=2017, bis_rules=2017",no automatic rule applied — manual review needed,sure | bis_ai_db | bis_rules
IS 12269,IS 12269:2013,"Ordinary Portland Cement, 53 Grade — Specification","edition_year differs across sources: sp21=1987, sure=2013, normai=2013 | full text is from edition 1987 but latest known edition is 2013","kept edition_year=2013 as current; full_text is from 1987 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | normai
IS 12894,IS 12894:2002,Pulverized Fuel Ash-Lime Bricks - Specification,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sp21 | sure | bis_ai_db
IS 13252 (Part 1),IS 13252 (Part 1):2010,Information Technology Equipment — Safety — General Requirements,titles share no words across sources - one source may have the wrong title for this code,no automatic rule applied — manual review needed,sure | bis_ai_db | normai | bis_rules
IS 13779,IS 13779:2020,"AC Static Watthour Meters, Class 1 and 2 - Specification","edition_year differs across sources: sure=2020, bis_ai_db=1999, bis_rules=1999",no automatic rule applied — manual review needed,sure | bis_ai_db | bis_rules
IS 14268,IS 14268:2022,Prestressing Steel - Uncoated Stress-Relieved Low Relaxation Seven-Ply Strand for Prestressed Concrete,"edition_year differs across sources: sp21=1995, sure=2022 | full text is from edition 1995 but latest known edition is 2022","kept edition_year=2022 as current; full_text is from 1995 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db
IS 15298 (Part 2),IS 15298 (Part 2):2016,Personal Eye-Protection — Specification,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,sih108 | bis_ai_db | normai | bis_rules
IS 15298 (Part 3),IS 15298 (Part 3):2016,Personal Eye and Face Protection — Hand/Arm Protection,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,bis_ai_db | normai | bis_rules
IS 15450,IS 15450:2004,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,bis_ai_db | normai
IS 15658,IS 15658:2006,Precast Concrete Blocks for Paving — Specification,mandatory-certification evidence conflicts,certification status left as null/disputed — verify manually before demo,bis_ai_db | bis_ai_targets | normai
IS 16014,IS 16014:2012,"Mechanically Woven, Double -twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses And Rock Fall Netting(Galvanized Steel Wire Or Galvanized Steel Wore With Pvc Coating)",titles share no words across sources - one source may have the wrong title for this code,no automatic rule applied — manual review needed,sih108_demo | bis_ai_db
IS/IEC 60898 (Part 1),IS/IEC 60898 (Part 1):2015,ELECTRICAL ACCESSORIES - CIRCUIT-BREAKERS FOR OVERCURRENT PROTECTION FOR HOUSEHOLD AND SIMILAR INSTALLATIONS - PART 1: CIRCUIT-BREAKERS FOR AC OPERATION,"edition_year differs across sources: sp21=2002, sure=2015, bis_ai_db=2015, bis_rules=2015 | full text is from edition 2002 but latest known edition is 2015","kept edition_year=2015 as current; full_text is from 2002 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db | bis_rules
IS/IEC 60947 (Part 2),IS/IEC 60947 (Part 2):2019,LOW-VOLTAGE SWITCHGEAR AND CONTROLGEAR - PART 2: CIRCUIT BREAKERS,"edition_year differs across sources: sp21=2003, sure=2019, bis_ai_db=2016, bis_rules=2016 | full text is from edition 2003 but latest known edition is 2019","kept edition_year=2019 as current; full_text is from 2003 — flagged edition_mismatch, do not treat quoted clause numbers as current",sp21 | sure | bis_ai_db | bis_rules
IS/IEC 61730 (Part 1),IS/IEC 61730 (Part 1):2016,Photovoltaic (PV) Module Safety Qualification - Part 1: Requirements for Construction,"edition_year differs across sources: sure=2016, bis_ai_db=2004, bis_rules=2004",no automatic rule applied — manual review needed,sure | bis_ai_db | bis_rules
